Material,Manufacturer,Mfr Part Number
90000185,50184,30564691
90000186,50184,30688225
90000187,50184,30740177
90000190,50184,120545
90000191,50184,30604419
90000192,50184,30643720
90000193,50184,30533276
90000194,50184,30533277
90000195,50184,30533278
90000196,50184,116652
90000197,50184,30460646
90000198,50184,30460652
90000199,50184,30460656
90000200,50184,30460657
90000201,50184,30460662
90000202,50184,66443
90000203,50184,106521
90000204,50184,38749
90000205,50184,38888
90000206,50184,5EABA059
90000207,50184,30099019.051
90000208,50184,30099019.060
90000209,50184,30099019.075
90000210,50184,30099019.085
90000211,50184,131872.117.0
90000212,50184,30544254
90000213,50184,30566941
90000214,50184,30589333
90000215,50184,30679466
90000216,50184,30321540
90000217,50184,30531737
90000218,50184,30458930
90000219,50184,30021175
90000220,50184,30114263
90000221,50184,30365908
90000222,50184,30456347
90000223,50184,30500622
90000224,50184,30511843
90000225,50184,30542563
90000226,50184,30547080
90000227,50184,441000.852.0
90000228,50184,30167604
90000229,50184,30167605
90000230,50184,30167607
90000231,50184,30167608
90000232,50184,30270527
90000233,50184,30275308
90000234,50184,30362898
90000235,50184,30376393
90000236,50184,30376394
90000237,50184,30376395
90000238,50184,30376402
90000239,50184,30542067
90000240,50184,30729720
90000241,50184,116486
90000242,50184,30645722
90000243,50184,30646794
90000244,50184,114612
90000245,50184,114613
90000246,50184,152600.001.0
90000247,50184,150525.005.0
90000248,50184,150525.007.0
90000249,50184,150525.010.0
90000250,50184,150525.012.0
90000251,50184,150525.018.0
90000252,50184,150525.021.0
90000253,50184,150525.028.0
90000254,50184,150525.029.0
90000255,50184,150525.033.0
90000256,50184,150525.038.0
90000257,50184,150963.021.0
90000258,50184,150963.022.0
90000259,50184,29979
90000260,50184,30107387
90000261,50184,972353.005.0
90000268,50184,30004942
90000269,50184,30072115
90000270,50184,38886
90000271,50184,39378
90000272,50184,45045
90000273,50184,45890
90000274,50184,48422
90000275,50184,50674
90000276,50184,50675
90000277,50184,78194
90000278,50184,141596.001.0
90000279,50184,30167923
90000280,50184,30518587
90000281,50184,138101.001.0
90000282,50184,30569200
90000283,50184,30569220
90000284,50184,141500.104.0
90000285,50184,120885.011.0
90000286,50184,30594678
90000287,50184,30140180
90000288,50184,30460345
90000289,50184,120885.102.0
90000290,50184,30154804
90000291,50184,120885.031.0
90000292,50184,30051612
90000293,50184,120885.032.0
90000294,50184,30497318
90000295,50184,30725293
90000296,50184,30668892
90000297,50184,30668897
90000298,50184,30668900
90000299,50184,30432014
90000300,50184,123639
90000301,50184,120885.009.0
90000302,50184,120885.003.0
90000303,50184,63930
90000304,50184,123642
90000305,50184,30486425
90000306,50184,80581
90000307,50184,126926
90000308,50184,120885.013.0
90000309,50184,120885.008.0
90000310,50184,120885.005.0
90000311,50184,120885.015.0
90000312,50184,120885.101.0
90000313,50184,141755.105.0
90000314,50184,30140194
90000315,50184,120885.018.0
90000316,50184,30589120
90000317,50184,30589121
90000318,50184,120885.012.0
90000319,50184,120885.002.0
90000320,50184,120885.004.0
90000321,50184,30671658
90000322,50184,120885.010.0
90000323,50184,127782.001.0
90000324,50184,141500.105.0
90000325,50184,120885.007.0
90000326,50184,120885.019.0
90000327,50184,113602
90000328,50184,132960.048.0
90000329,50184,30365236
90000330,50184,78636
90000331,50184,30215326
90000332,50184,30045957
90000333,50184,30104747
90000334,50184,30104753
90000335,50184,30104764
90000336,50184,30203285
90000337,50184,30270507
90000338,50184,30305840
90000339,50184,30341944
90000340,50184,30376392
90000341,50184,30399123
90000342,50184,30399125
90000343,50184,30576844
90000344,50184,30720455
90000345,50184,44208
90000346,50184,44220
90000347,50184,44709
90000348,50184,59083
90000349,50184,59089
90000350,50184,66583
90000352,50184,30160782
90000353,50184,30208328
90000354,50184,30542577
90000355,50184,30650782
90000356,50184,30650786
90000358,50184,116651
90000359,50184,127452
90000360,50184,30087918
90000361,50184,30452443
90000362,50184,30537610
90000363,50184,30538521
90000364,50184,30539479
90000365,50184,30539551
90000366,50184,30543341
90000367,50184,30543487
90000368,50184,30572211
90000369,50184,30586854
90000370,50184,30732651
90000371,50184,30044198
90000372,50184,30452623
90000373,50184,30602125
90000374,50184,30740531
90000375,50184,30748107
90000376,50184,30454940
90000377,50184,30544011
90000378,50184,30289982
90000379,50184,30545071
90000380,50184,153100.014.0
90000381,50184,30204404
90000382,50184,30204414
90000383,50184,30204415
90000384,50184,59176
90000388,50184,30595327.152
90000389,50184,30595327.201
90000390,50184,152808.006.0
90000391,50184,30516636
90000392,50184,30531466
90000393,50184,30542529
90000394,50184,141500.001.0
90000395,50184,153651.001.0
90000396,50184,30058056
90000397,50184,82214
90000398,50184,82219
90000399,50184,82221
90000400,50184,82222
90000401,50184,82224
90000402,50184,82225
90000403,50184,82236
90000404,50184,82237
90000405,50184,82240
90000406,50184,82241
90000407,50184,82242
90000408,50184,82256
90000409,50184,82265
90000410,50184,82272
90000411,50184,85012
90000412,50184,124501
90000413,50184,30505812
90000414,50184,30505819
90000415,50184,128473.060.0
90000416,50184,39013
90000417,50184,115935
90000418,50184,976700.377.0
90000419,50184,86227
90000420,50184,88309
90000421,50184,121631
90000422,50184,30460712
90000423,50184,114611
90000424,50184,30329442
90000425,50184,938002.028.0
90000426,50184,30111764
90000427,50184,30589470.005
90000428,50184,30589491.004
90000429,50184,30702701
90000430,50184,114768.001.0
90000431,50184,122401
90000432,50184,131093.148.0
90000433,50184,131093.807.0
90000434,50184,131093.812.0
90000435,50184,131093.819.0
90000436,50184,131093.820.0
90000437,50184,131093.830.0
90000438,50184,30516182
90000439,50184,30516481
90000440,50184,35367
90000441,50184,993101.222.0
90000442,50184,5EABA058
90000444,50184,127738
90000445,50184,30337416
90000446,50184,30519049
90000447,50184,30524662
90000448,50184,30534333
90000449,50184,30554229
90000450,50184,30592799
90000451,50184,30592802
90000452,50184,30728529
90000453,50184,37089
90000454,50184,37122
90000455,50184,39174
90000456,50184,41288
90000457,50184,53559
90000458,50184,115824
90000459,50184,117310
90000460,50184,130761.134.0
90000461,50184,130761.264.0
90000462,50184,30718338
90000463,50184,50615
90000464,50184,120183
90000466,50184,30047329.325
90000467,50184,30749427
90000468,50184,106110
90000469,50184,30497710
90000470,50184,30098968
90000471,50184,30484383
90000472,50184,118460.001.0
90000473,50184,118600.167.0
90000474,50184,30750004
90000478,50184,121250
90000479,50184,118364.001.0
90000480,50184,30154208
90000481,50184,30161547
90000482,50184,30161549
90000483,50184,30161551
90000484,50184,30162597
90000485,50184,30162600
90000486,50184,30162806
90000487,50184,30162828
90000488,50184,30162880
90000489,50184,30162917
90000490,50184,30287218
90000491,50184,30349169
90000492,50184,30452438
90000493,50184,30280881
90000494,50184,992802.009.0
90000495,50184,982055.370.0
90000496,50184,30504434
90000497,50184,44794
90000498,50184,95990
90000499,50184,153541.021.0
90000503,50184,109960
90000504,50184,30544005
90000505,50184,30504615
90000506,50184,30540627
90000507,50184,116423
90000508,50184,30646302
90000509,50184,30646303
90000510,50184,30269388
90000511,50184,30398360
90000512,50184,30531525
90000513,50184,30531534
90000514,50184,38543
90000515,50184,96849
90000516,50184,30439494
90000517,50184,30575803
90000518,50184,30581532
90000519,50184,30617782
90000520,50184,120549
90000521,50184,123442
90000522,50184,115757
90000523,50184,115758
90000524,50184,153259.001.0
90000525,50184,30102763
90000526,50184,30273766
90000527,50184,30677353
90000528,50184,30332106
90000529,50184,114865
90000530,50184,30435646
90000531,50184,995502.003.0
90000532,50184,995502.007.0
90000533,50184,995502.009.0
90000534,50184,995502.011.0
90000536,50184,33826
90000538,50184,30317921
90000540,50184,46844
90000541,50184,78090
90000542,50184,903030.221.0
90000543,50184,903031.122.0
90000544,50184,990335.065.0
90000545,50184,152806.008.0
90000546,50184,152806.018.0
90000547,50184,152806.021.0
90000548,50184,152806.028.0
90000549,50184,152806.032.0
90000550,50184,152806.034.0
90000551,50184,152806.035.0
90000552,50184,152806.056.0
90000553,50184,152806.057.0
90000554,50184,152806.077.0
90000555,50184,152806.078.0
90000556,50184,152806.086.0
90000557,50184,152806.113.0
90000558,50184,30408434
90000559,50184,37381
90000560,50184,903019.069.0
90000561,50184,903019.085.0
90000562,50184,903019.276.0
90000563,50184,903019.509.0
90000564,50184,903019.511.0
90000565,50184,903019.514.0
90000566,50184,990336.011.0
90000569,50184,10637F0381
90000570,50184,1083285.01
90000571,50184,133257.008.0
90000572,50184,133257.017.0
90000573,50184,27771
90000574,50184,30137
90000575,50184,30162353
90000576,50184,30167753
90000577,50184,30332734
90000578,50184,30561110
90000579,50184,32393
90000580,50184,53558
90000581,50184,84942
90000582,50184,990335.086.0
90000583,50184,990335.125.0
90000585,50184,353161.038.0
90000586,50184,353161.039.0
90000587,50184,30498969
90000589,50184,110451
90000590,50184,30056916
90000591,50184,30482655
90000592,50184,908116.000.0
90000593,50184,908116.003.0
90000594,50184,908129.005.0
90000595,50184,908141.017.0
90000596,50184,30507599
90000597,50184,30507688
90000598,50184,30508112
90000599,50184,30508129
90000600,50184,30508246
90000601,50184,30508258
90000602,50184,30508320
90000603,50184,30508325
90000604,50184,30508330
90000605,50184,30508548
90000606,50184,30509346
90000607,50184,30509352
90000608,50184,30509357
90000609,50184,30509358
90000610,50184,30509369
90000611,50184,30509387
90000612,50184,30509538
90000613,50184,30509582
90000614,50184,30509618
90000615,50184,30509946
90000616,50184,30510001
90000617,50184,30510011
90000618,50184,30510258
90000619,50184,30510259
90000620,50184,30510279
90000621,50184,30510291
90000622,50184,30510296
90000623,50184,30510298
90000624,50184,30510312
90000625,50184,30510360
90000626,50184,30510520
90000627,50184,30510522
90000628,50184,30510568
90000629,50184,30510789
90000630,50184,160010.003.2
90000631,50184,160025.711.1
90000632,50184,16005.010.2
90000633,50184,30092120
90000634,50184,30316110
90000635,50184,30418389
90000636,50184,31633
90000637,50184,85380
90000638,50184,30526320
90000640,50184,160032.205.2
90000641,50184,160032.308.2
90000642,50184,160832.107.2
90000643,50184,29002194R
90000644,50184,29002194R.002
90000645,50184,30054671
90000646,50184,30323561
90000647,50184,30507370
90000648,50184,30544147
90000649,50184,30591060
90000650,50184,160038.409.2
90000651,50184,160040.412.2
90000652,50184,104530.005.0
90000653,50184,151543.021.0
90000654,50184,30046844
90000655,50184,30519333
90000656,50184,160055.222.9
90000657,50184,189902.243.0
90000658,50184,10107A1985
90000659,50184,114099
90000660,50184,123691
90000661,50184,30141927
90000662,50184,72287
90000663,50184,903030.081.0
90000664,50184,903030.130.0
90000665,50184,903031.089.0
90000666,50184,903031.090.0
90000667,50184,903031.094.0
90000668,50184,903031.126.0
90000669,50184,903031.135.0
90000670,50184,903031.158.0
90000671,50184,105411
90000672,50184,134790.000.0
90000673,50184,30727852
90000674,50184,131678.535.0
90000675,50184,132904.039.0
90000676,50184,152016.010.0
90000677,50184,30734768
90000678,50184,30734828
90000679,50184,109745
90000680,50184,109750
90000681,50184,121046
90000682,50184,30075820
90000683,50184,30497693
90000684,50184,30519408
90000685,50184,82838
90000686,50184,30454656
90000687,50184,30734425
90000688,50184,30734441
90000695,50184,126892
90000696,50184,153305.001.0
90000697,50184,287640.281.0
90000698,50184,30012639
90000699,50184,30053220
90000700,50184,30207545
90000701,50184,30332638
90000702,50184,30334999
90000703,50184,30456135
90000704,50184,30500384
90000705,50184,30504318
90000706,50184,30504927
90000707,50184,30540140
90000708,50184,30550030
90000709,50184,36502
90000710,50184,30510880
90000711,50184,30510886
90000712,50184,30510888
90000713,50184,30510895
90000714,50184,30510936
90000715,50184,30511012
90000716,50184,30584135
90000717,50184,30584138
90000718,50184,30584477
90000719,50184,30584481
90000720,50184,133585.033.0
90000721,50184,30729575
90000722,50184,123672
90000723,50184,30498054
90000724,50184,30504546
90000725,50184,30735926
90000726,50184,30735926.002
90000727,50184,150334.004.0
90000728,50184,160005.008.1
90000729,50184,160005.101.2
90000731,50184,30735113
90000732,50184,30735115
90000733,50184,30735180
90000734,50184,30735181
90000735,50184,30735198
90000736,50184,30735200
90000737,50184,106111
90000738,50184,30315591
90000739,50184,30593169
90000740,50184,30593192
90000741,50184,95178
90000743,50184,105322
90000744,50184,30489948
90000745,50184,70113
90000746,50184,907005.512.0
90000747,50184,127000
90000748,50184,192674.060.4
90000749,50184,30162238
90000750,50184,30453378
90000751,50184,30458725
90000752,50184,30519297
90000753,50184,30529266
90000754,50184,30584775
90000755,50184,30743948
90000756,50184,30748446
90000757,50184,37947
90000758,50184,51070
90000759,50184,99334
90000760,50184,289700.011.0
90000761,50184,30188003
90000762,50184,30052634
90000763,50184,30117948
90000764,50184,210A19025
90000765,50184,30001085
90000766,50184,30004950
90000767,50184,30138051
90000768,50184,30534971
90000769,50184,30634231
90000770,50184,30642928
90000771,50184,30739938
90000772,50184,33542
90000773,50184,45546
90000774,50184,95174
90000775,50184,30645458
90000776,50184,30645459
90000777,50184,30308278
90000778,50184,30616344.002
90000779,50184,30551269
90000780,50184,30052784
90000781,50184,106456
90000782,50184,30320178
90000783,50184,30583363
90000784,50184,105234
90000785,50184,106725
90000786,50184,138542.550.0
90000787,50184,26944
90000788,50184,30056099
90000789,50184,30158962
90000790,50184,30263691
90000791,50184,30576642
90000792,50184,52427
90000793,50184,68882
90000794,50184,990421.005.0
90000795,50184,990421.011.0
90000796,50184,30733885
90000797,50184,30525090
90000798,50184,30542542
90000799,50184,30650793
90000800,50184,30477125
90000801,50184,3020881
90000802,50184,113214.036.0
90000805,50184,2000004.559.0
90000806,50184,29084647R.002
90000807,50184,30150274
90000808,50184,30422497
90000809,50184,30456070
90000810,50184,30584688
90000811,50184,30584692
90000812,50184,30585470
90000813,50184,30585517
90000814,50184,30585739
90000815,50184,30585744
90000816,50184,30586455
90000817,50184,30586462
90000818,50184,30586815
90000819,50184,30586816
90000820,50184,152807.002.0
90000821,50184,152807.003.0
90000822,50184,152807.005.0
90000823,50184,152807.006.0
90000824,50184,152807.009.0
90000825,50184,152807.010.0
90000826,50184,152807.012.0
90000827,50184,152807.015.0
90000828,50184,152807.025.0
90000829,50184,152807.026.0
90000830,50184,152807.027.0
90000831,50184,152807.028.0
90000832,50184,152807.029.0
90000833,50184,152807.032.0
90000834,50184,152808.011.0
90000835,50184,152950.002.0
90000836,50184,152950.029.0
90000837,50184,25129
90000838,50184,27296
90000839,50184,29001839R
90000840,50184,30056431
90000841,50184,30125
90000842,50184,30127
90000843,50184,30159093
90000844,50184,30161312
90000845,50184,30240514
90000846,50184,30240567
90000847,50184,30399595
90000848,50184,30500729
90000849,50184,30503138
90000850,50184,30539465
90000851,50184,30539480
90000852,50184,30625779
90000853,50184,30641596
90000854,50184,30746332
90000855,50184,30746386
90000856,50184,32392
90000857,50184,30315429
90000858,50184,30322770
90000859,50184,30497743
90000861,50184,30003804
90000862,50184,30003841
90000863,50184,30318078
90000864,50184,30507210
90000865,50184,30507216
90000866,50184,993801.035.0
90000867,50184,993801.046.0
90000868,50184,993801.060.0
90000869,50184,993801.070.0
90000870,50184,993801.090.0
90000871,50184,993801.097.0
90000872,50184,993801.148.0
90000874,50184,30504487
90000875,50184,30725467
90000876,50184,113111
90000877,50184,30401067.003
90000878,50184,30525397.002
90000879,50184,30525507.002
90000880,50184,30504315
90000881,50184,30504733
90000882,50184,30509147
90000883,50184,30509228
90000884,50184,114740
90000885,50184,30721840
90000886,50184,30399047.003
90000887,50184,30445803.033
90000888,50184,30445839.033
90000889,50184,30609132.003
90000890,50184,30537434.004
90000891,50184,30732473
90000892,50184,30732473.002
90000893,50184,30118723
90000894,50184,30118725
90000895,50184,30119369
90000896,50184,30122698
90000897,50184,30311000.033
90000898,50184,30311258.133
90000899,50184,30725024
90000900,50184,30595326.152
90000901,50184,30595326.201
90000902,50184,30678303.2
90000903,50184,30678303.202
90000904,50184,92030
90000910,50184,101536
90000911,50184,106727
90000912,50184,107941
90000913,50184,113387
90000914,50184,126179
90000915,50184,126893
90000916,50184,126905
90000917,50184,152017.009.0
90000918,50184,152017.011.0
90000919,50184,1520807.040.0
90000921,50184,29063013R
90000922,50184,30312947
90000923,50184,30316592
90000924,50184,30317978
90000925,50184,30317978.16
90000926,50184,30318543
90000927,50184,30365255
90000928,50184,30422140.002
90000929,50184,30448688
90000930,50184,30451103
90000931,50184,30462931
90000932,50184,30476921
90000933,50184,30478241
90000934,50184,30498606
90000935,50184,30498843
90000936,50184,30500351
90000937,50184,30500599
90000938,50184,30502627
90000939,50184,30502967
90000940,50184,30503076
90000941,50184,30503186
90000942,50184,30503678
90000943,50184,30503700
90000944,50184,30504550
90000945,50184,30504559
90000946,50184,30508926
90000947,50184,30589425
90000948,50184,30631574
90000949,50184,30642652
90000950,50184,30667096
90000951,50184,30679101
90000952,50184,30724720
90000953,50184,30724837
90000954,50184,30730133
90000955,50184,30731446
90000956,50184,30734923
90000957,50184,441000.476.0
90000958,50184,441001.184.0
90000959,50184,30018821
90000960,50184,30440958
90000961,50184,30573531
90000963,50184,109961
90000964,50184,30055552
90000965,50184,30066466
90000966,50184,30266599
90000967,50184,30518763
90000968,50184,30545572
90000969,50184,30642731
90000970,50184,30652731
90000971,50184,30694210
90000972,50184,30743545
90000973,50184,348894.673
90000974,50184,348894.673.0
90000975,50184,394.23
90000991,50184,287693.834.0
90000992,50184,111164
90000993,50184,30466732
90000994,50184,30466736
90000995,50184,978264.056.0
90000996,50184,30562496
90000997,50184,160028.230.2
90000998,50184,30591208.002
90000999,50184,30733075
90001000,50184,88241
90001001,50184,117119
90001002,50184,30269378
90001003,50184,151759.002.0
90001004,50184,30127605
90001005,50184,30534376.003
90001006,50184,993801.138.0
90001007,50184,160832.310.2
90001008,50184,30162824
90001009,50184,30584948.002
90001010,50184,30586853
90001011,50184,30586855
90001012,50184,36221
90001013,50184,109191
90001014,50184,109192
90001015,50184,30119372
90001016,50184,30119377
90001017,50184,123474.001.0
90001018,50184,124566.001.0
90001019,50184,131093.808.0
90001020,50184,30321913
90001021,50184,67684
90001035,50184,30555251
90001036,50184,30562
90001037,50184,117044
90001038,50184,127649.063.0
90001039,50184,16461
90001040,50184,30133695
90001041,50184,30242003
90001042,50184,450023.596.0
90001043,50184,30170721
90001044,50184,30172719
90001049,50113,511-0205A
90001068,50184,106683
90001069,50184,160002.004.2
90001070,50184,160005.006.1
90001071,50184,160005.006.2
90001072,50184,160025.706.2
90001073,50184,160028.120.0
90001074,50184,192484.122.0
90001075,50184,990304.069.0
90001076,50184,W0104082
90001079,50184,102898.001.0
90001080,50184,107786
90001081,50184,110242
90001082,50184,30156612
90001083,50184,30171435
90001084,50184,30626518
90001085,50184,30637954
90001086,50184,53074
90001087,50184,903030.023.0
90001088,50184,903030.042.0
90001089,50184,903030.076.0
90001096,50184,160090.016.2
90001097,50184,160096.006.2
90001098,50184,160096.012.2
90001099,50184,32385
90001107,50184,10107A1982
90001108,50184,151052.005.0
90001109,50184,151184.001.0
90001110,50184,160032.310.2
90001111,50184,160832.205.2
90001112,50184,160832.306.2
90001113,50184,161832.208.2
90001114,50184,30020223
90001115,50184,30457830
90001116,50184,30497413
90001117,50184,36126
90001118,50184,36162
90001122,50113,550-0006
90001124,50113,550-0017
90001134,50184,109084
90001135,50184,109085
90001136,50184,111103
90001137,50184,151724.001.0
90001138,50184,30347861
90001139,50184,30552273
90001140,50184,151197.001.0
90001141,50184,151198.001.0
90001142,50184,160062.019.9
90001143,50184,160062.020.9
90001144,50184,160062.509.9
90001145,50184,160062.710.9
90001146,50184,89531
90001147,50184,903014.064.0
90001148,50184,903030.165.0
90001149,50184,150593.102.0
90001150,50184,30015479
90001151,50184,160045.520.9
90001152,50184,37425
90001153,50184,1095485.01
90001154,50184,287695.501.0
90001155,50184,30270941
90001172,50184,113862
90001173,50184,30090450.008
90001174,50184,30445580
90001175,50184,30445608
90001176,50184,30514925
90001199,50184,109557
90001200,50184,109962
90001201,50184,131678.555.0
90001202,50184,131678.825.0
90001203,50184,132908.024.0
90001204,50184,152951.002.0
90001205,50184,153018.501.0
90001206,50184,153018.514.0
90001207,50184,153845.001.0
90001208,50184,153845.012.0
90001209,50184,25801
90001210,50184,30281324
90001211,50184,30091285.010
90001212,50184,30445665
90001213,50184,344200.002.0
90001214,50184,153019.002.0
90001217,50184,140930.301.0
90001218,50184,30214944
90001219,50184,30328045
90001220,50184,94445
90001221,50184,141677.002.0
90001222,50184,30063019
90001223,50184,30558877
90001224,50113,516-0053
90001225,50184,30297359
90001226,50184,30363801
90001227,50184,30406798
90001228,50184,36186
90001229,50184,36189
90001230,50184,36469
90001231,50184,36946
90001232,50184,37938
90001233,50184,131149.101.0
90001234,50184,30280553
90001235,50184,30487529
90001236,50184,30743190
90001237,50184,192469.185.0
90001238,50184,30189183
90001240,50184,152806.022.0
90001241,50184,152806.024.0
90001242,50184,152806.051.0
90001243,50184,152806.069.0
90001244,50184,152806.083.0
90001245,50184,2000011.426.0
90001246,50184,903019.503.0
90001248,50184,109357
90001249,50184,109810
90001250,50184,115087
90001251,50184,132650.002.0
90001252,50184,133257.003.0
90001253,50184,25156
90001254,50184,27290
90001255,50184,27293
90001256,50184,30133
90001257,50184,30134
90001258,50184,30267764
90001259,50184,35237
90001260,50184,46069
90001261,50184,990335.073.0
90001262,50184,30119256
90001263,50184,30149004
90001264,50184,30149547
90001265,50184,30294940
90001266,50184,30294954
90001267,50184,30294957
90001268,50184,30295084
90001269,50184,30295086
90001270,50184,30295101
90001271,50184,30295106
90001272,50184,30295113
90001273,50184,30295136
90001274,50184,30311599
90001275,50184,30554556
90001276,50184,38755
90001277,50184,30741055
90001278,50184,30741064
90001279,50184,30741077
90001280,50184,131149.007.0
90001283,50184,110449
90001284,50184,30743171
90001285,50184,908122.010.0
90001286,50184,908128.000.0
90001287,50184,908141.030.0
90001288,50184,127884.018.0
90001289,50184,10177F0981
90001290,50184,103867.001.0
90001291,50184,123617.001.0
90001300,50184,30602028
90001301,50184,30657270
90001302,50184,39037
90001303,50184,53896
90001304,50184,66750
90001305,50184,30546884
90001307,50184,1025743.01
90001308,50184,109751
90001309,50184,125600
90001310,50184,29064571R
90001311,50184,30093619
90001312,50184,30093622
90001313,50184,30158245
90001314,50184,30297352
90001315,50184,118964
90001316,50184,119860
90001317,50184,131872.129.0
90001318,50184,151180.002.0
90001319,50184,30126723
90001320,50184,30170938
90001321,50184,30240994
90001322,50184,30258680
90001323,50184,30312806
90001324,50184,30469743
90001325,50184,30547537
90001326,50184,95177
90001331,50184,125333
90001332,50184,33348
90001333,50184,85851
90001334,50184,907005.510.0
90001335,50184,151325.002.0
90001337,50184,30594458
90001345,50184,10217C3484
90001346,50184,141680.015.0
90001347,50184,141680.016.0
90001348,50184,192674.198.4
90001349,50184,30048658
90001350,50184,30138590
90001351,50184,30267559
90001352,50184,30552122
90001353,50184,30586223
90001354,50184,30658597
90001355,50184,30658610
90001356,50184,36971
90001357,50184,83841
90001358,50184,287238.009.0
90001359,50184,30542079
90001360,50184,152748.103.0
90001361,50184,132960.047.0
90001362,50184,150525.022.0
90001363,50184,150963.019.0
90001364,50184,55610
90001365,50184,30638131
90001366,50184,30638131.002
90001368,50184,115923
90001369,50184,972351.130.0
90001370,50184,2000008.003.1
90001373,50184,348893.672.1
90001380,50113,501-0000
90001390,50184,109656
90001391,50184,119199
90001392,50184,119200
90001393,50184,124237
90001394,50184,19612
90001395,50184,138542.551.0
90001396,50184,30315780
90001397,50184,30324856
90001398,50184,30324900
90001399,50184,30324933
90001400,50184,30324941
90001401,50184,30325091
90001402,50184,30325093
90001403,50184,30325229
90001404,50184,30325239
90001405,50184,30590209
90001406,50184,40814
90001407,50184,30638073
90001408,50184,30158972
90001409,50184,27196
90001410,50184,30366565
90001411,50184,38861
90001412,50184,30099019.042
90001413,50184,105242
90001414,50184,107901
90001416,50184,101587
90001417,50184,1041358.01
